User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,plan_duration_days,days_since_last_payment,user_lifetime_days,is_churned
1,Basic,10,2022-01-15,2022-05-27,United States,28,Male,Smartphone,1 Month,30,1058,1190,1
2,Premium,15,2021-09-05,2022-12-14,Canada,35,Female,Tablet,1 Month,30,857,1322,1
3,Standard,12,2023-02-28,2023-12-25,United Kingdom,42,Male,Smart TV,1 Month,30,481,781,1
4,Standard,12,2022-07-10,2022-11-23,Australia,51,Female,Laptop,1 Month,30,878,1014,1
5,Basic,10,2023-05-01,2023-08-10,Germany,33,Male,Smartphone,1 Month,30,618,719,1
6,Premium,15,2022-03-18,2022-05-07,France,29,Female,Smart TV,1 Month,30,1078,1128,1
7,Standard,12,2021-12-09,2023-09-14,Brazil,46,Male,Tablet,1 Month,30,583,1227,1
8,Basic,10,2023-04-02,2023-08-31,Mexico,39,Female,Laptop,1 Month,30,597,748,1
9,Standard,12,2022-10-20,2024-02-28,Spain,37,Male,Smartphone,1 Month,30,416,912,1
10,Premium,15,2023-01-07,2023-09-08,Italy,44,Female,Smart TV,1 Month,30,589,833,1
11,Basic,10,2022-05-16,2023-05-11,United States,31,Female,Smartphone,1 Month,30,709,1069,1
12,Premium,15,2023-03-23,2024-07-23,Canada,45,Male,Tablet,1 Month,30,270,758,1
13,Standard,12,2021-11-30,2022-03-27,United Kingdom,48,Female,Laptop,1 Month,30,1119,1236,1
14,Basic,10,2022-08-01,2023-09-07,Australia,27,Male,Smartphone,1 Month,30,590,992,1
15,Standard,12,2023-05-09,2023-09-15,Germany,38,Female,Smart TV,1 Month,30,582,711,1
16,Premium,15,2022-04-07,2024-02-29,France,36,Male,Tablet,1 Month,30,415,1108,1
17,Basic,10,2022-01-24,2022-07-03,Brazil,30,Female,Laptop,1 Month,30,1021,1181,1
18,Standard,12,2021-10-18,2023-09-09,Mexico,43,Male,Smartphone,1 Month,30,588,1279,1
19,Premium,15,2023-02-15,2024-01-19,Spain,32,Female,Smart TV,1 Month,30,456,794,1
20,Basic,10,2023-05-27,2024-06-03,Italy,41,Male,Tablet,1 Month,30,320,693,1
21,Premium,15,2023-06-10,2024-11-12,United States,26,Female,Laptop,1 Month,30,158,679,1
22,Basic,10,2022-07-22,2023-10-08,Canada,34,Male,Smartphone,1 Month,30,559,1002,1
23,Standard,12,2021-12-05,2023-01-24,United Kingdom,49,Female,Smart TV,1 Month,30,816,1231,1
24,Standard,12,2022-04-03,2022-11-10,Australia,31,Male,Tablet,1 Month,30,891,1112,1
25,Basic,10,2023-03-14,2024-01-14,Germany,40,Female,Laptop,1 Month,30,461,767,1
26,Premium,15,2022-01-12,2022-07-21,France,29,Male,Smartphone,1 Month,30,1003,1193,1
27,Basic,10,2022-08-29,2023-12-31,Brazil,47,Female,Smart TV,1 Month,30,475,964,1
28,Standard,12,2021-09-27,2022-09-05,Mexico,33,Male,Tablet,1 Month,30,957,1300,1
29,Premium,15,2022-12-19,2023-02-08,Spain,36,Female,Laptop,1 Month,30,801,852,1
30,Basic,10,2023-05-17,2024-02-23,Italy,42,Male,Smartphone,1 Month,30,421,703,1
31,Premium,15,2023-02-03,2024-09-15,United States,28,Female,Smart TV,1 Month,30,216,806,1
32,Basic,10,2022-07-07,2023-11-23,Canada,37,Male,Tablet,1 Month,30,513,1017,1
33,Standard,12,2022-01-21,2022-04-19,United Kingdom,41,Female,Laptop,1 Month,30,1096,1184,1
34,Standard,12,2022-05-25,2023-11-16,Australia,29,Male,Smartphone,1 Month,30,520,1060,1
35,Basic,10,2023-04-11,2024-08-28,Germany,39,Female,Smart TV,1 Month,30,234,739,1
36,Premium,15,2022-03-01,2022-10-06,France,35,Male,Tablet,1 Month,30,926,1145,1
37,Basic,10,2022-09-14,2024-04-28,Brazil,45,Female,Laptop,1 Month,30,356,948,1
38,Standard,12,2021-11-05,2023-06-24,Mexico,32,Male,Smartphone,1 Month,30,665,1261,1
39,Premium,15,2022-12-28,2023-09-27,Spain,27,Female,Smart TV,1 Month,30,570,843,1
40,Basic,10,2023-03-07,2024-08-22,Italy,48,Male,Tablet,1 Month,30,240,774,1
41,Premium,15,2023-01-20,2023-06-29,United States,31,Female,Laptop,1 Month,30,660,820,1
42,Basic,10,2022-06-15,2023-11-11,Canada,40,Male,Smartphone,1 Month,30,525,1039,1
43,Standard,12,2022-02-07,2023-12-15,United Kingdom,36,Female,Smart TV,1 Month,30,491,1167,1
44,Standard,12,2022-04-26,2022-06-15,Australia,29,Male,Tablet,1 Month,30,1039,1089,1
45,Basic,10,2023-01-28,2023-08-12,Germany,43,Female,Laptop,1 Month,30,616,812,1
46,Premium,15,2022-02-23,2022-12-23,France,34,Male,Smartphone,1 Month,30,848,1151,1
47,Basic,10,2022-10-05,2023-11-26,Brazil,39,Female,Smart TV,1 Month,30,510,927,1
48,Standard,12,2021-09-15,2023-06-07,Mexico,32,Male,Tablet,1 Month,30,682,1312,1
49,Premium,15,2022-11-10,2023-10-21,Spain,28,Female,Laptop,1 Month,30,546,891,1
50,Basic,10,2023-06-02,2023-07-15,Italy,45,Male,Smartphone,1 Month,30,644,687,1
51,Premium,15,2023-02-27,2023-11-25,United States,30,Female,Smart TV,1 Month,30,511,782,1
52,Basic,10,2022-08-29,2023-09-08,Canada,37,Male,Tablet,1 Month,30,589,964,1
53,Standard,12,2022-01-13,2023-08-30,United Kingdom,41,Female,Laptop,1 Month,30,598,1192,1
54,Standard,12,2022-06-30,2023-07-04,Australia,29,Male,Smartphone,1 Month,30,655,1024,1
55,Basic,10,2023-04-20,2023-08-19,Germany,39,Female,Smart TV,1 Month,30,609,730,1
56,Premium,15,2022-03-15,2023-04-15,France,36,Male,Tablet,1 Month,30,735,1131,1
57,Basic,10,2022-10-01,2024-01-28,Brazil,46,Female,Laptop,1 Month,30,447,931,1
58,Standard,12,2021-10-08,2023-01-08,Mexico,34,Male,Smartphone,1 Month,30,832,1289,1
59,Premium,15,2022-12-03,2024-05-24,Spain,27,Female,Smart TV,1 Month,30,330,868,1
60,Basic,10,2023-06-14,2023-08-17,Italy,42,Male,Tablet,1 Month,30,611,675,1
61,Premium,15,2023-02-08,2023-10-01,United States,28,Female,Laptop,1 Month,30,566,801,1
62,Basic,10,2022-08-03,2022-11-21,Canada,37,Male,Smartphone,1 Month,30,880,990,1
63,Standard,12,2022-02-23,2023-10-07,United Kingdom,41,Female,Smart TV,1 Month,30,560,1151,1
64,Standard,12,2022-06-20,2023-08-11,Australia,29,Male,Tablet,1 Month,30,617,1034,1
65,Basic,10,2023-03-29,2023-04-29,Germany,40,Female,Laptop,1 Month,30,721,752,1
66,Premium,15,2022-01-30,2023-03-25,France,29,Male,Smartphone,1 Month,30,756,1175,1
67,Basic,10,2022-09-18,2024-05-05,Brazil,47,Female,Smart TV,1 Month,30,349,944,1
68,Standard,12,2021-11-09,2022-03-24,Mexico,33,Male,Tablet,1 Month,30,1122,1257,1
69,Premium,15,2022-12-23,2024-05-12,Spain,36,Female,Laptop,1 Month,30,342,848,1
70,Basic,10,2023-05-08,2024-07-12,Italy,41,Male,Smartphone,1 Month,30,281,712,1
71,Basic,10,2022-01-26,2023-09-03,United States,27,Male,Smartphone,1 Month,30,594,1179,1
72,Basic,10,2022-10-11,2023-04-20,Canada,31,Female,Smartphone,1 Month,30,730,921,1
73,Standard,12,2022-09-27,2023-05-16,United Kingdom,28,Female,Laptop,1 Month,30,704,935,1
74,Premium,13,2022-12-14,2023-10-09,Australia,41,Female,Smartphone,1 Month,30,558,857,1
